epochs,test_name,train_loss,test_loss,train_metric,test_metric
1,01_bignn_cos/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,01_bignn_cos/,0.002993483286678519,0.01127967651059597,3.387285797419976e-5,0.0004503000150354109
3,01_bignn_cos/,0.0023088397694260997,0.008481785915574119,2.3928877778868558e-5,0.00034032352712746105
4,01_bignn_cos/,0.0022894646366669884,0.008417695755399942,1.9064950332110046e-5,0.00027048290489245324
5,01_bignn_cos/,0.0006051481453922789,0.001072145980301653,8.70415827820955e-7,2.263657363511881e-6
6,01_bignn_cos/,0.00057871005942847,0.000617051282067819,8.214026360091773e-7,9.178925977946568e-7
7,01_bignn_cos/,0.0005784256796849921,0.0006200321940852839,8.222947199990648e-7,9.366428391283554e-7
8,01_bignn_cos/,0.0005782305954388893,0.000621991171766375,8.240244029292346e-7,9.631178520999144e-7
9,01_bignn_cos/,0.0005782208780116909,0.0006221661673155118,8.241215564789586e-7,9.64754751286233e-7
10,01_bignn_cos/,0.0005782136110636719,0.0006222975068159903,8.241950900436127e-7,9.659958255279465e-7
11,01_bignn_cos/,0.0005782135071430675,0.0006222995929529806,8.241965336033414e-7,9.66018866538558e-7
12,01_bignn_cos/,0.0005781989737556473,0.0006231255107379991,8.241234977234483e-7,9.674449028718153e-7
13,01_bignn_cos/,0.0005781965437102503,0.0006269228092844674,8.238322834894778e-7,9.738996783813361e-7
14,01_bignn_cos/,0.0005781965437102503,0.0006269228092844674,8.238322834894778e-7,9.738996783813361e-7
1,simple_cos/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,simple_cos/,0.002089525802146643,0.00789297322913055,1.7889872137130233e-5,0.00026185234446517164
3,simple_cos/,0.0006562233575442249,0.001323889497377127,1.1513564564040581e-6,6.68044873464533e-6
4,simple_cos/,0.0006465339864008812,0.0010814664083495715,1.0585234121308576e-6,4.727972109918461e-6
5,simple_cos/,0.000598071285315878,0.0006451180064336059,8.358037470190572e-7,1.0692816063483047e-6
6,simple_cos/,0.0005954027342605083,0.0006302794164266834,8.219461328158404e-7,9.14820344986018e-7
7,simple_cos/,0.0005949480525546023,0.0006516188355455616,8.233071265533567e-7,9.871200132581446e-7
8,simple_cos/,0.0005949457986518302,0.0006517186260901406,8.233316988895499e-7,9.87650598090242e-7
9,simple_cos/,0.0005949440776903762,0.0006517950464202508,8.233505124999649e-7,9.880566765847675e-7
10,simple_cos/,0.000594943808863207,0.0006518069460447905,8.233534546572524e-7,9.881199924869866e-7
11,simple_cos/,0.0005949435988925384,0.0006518155254353576,8.233557630586541e-7,9.881678992610086e-7
12,simple_cos/,0.0005949435988925384,0.0006518155254353576,8.233557630586541e-7,9.881678992610086e-7
1,dropout/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812
2,dropout/,0.010978281355683763,0.03100525529709401,0.00033196715211347797,0.001655950581783729
3,dropout/,0.0024666418378304416,0.0076854737105309595,1.5267023594973677e-5,0.0002332089063048195
4,dropout/,0.002366580680444892,0.00682786567583886,1.1451948326387777e-5,0.0001674683534027329
5,dropout/,0.002073227845045295,0.00629621593780657,9.803649982004242e-6,0.0001463197510867496
6,dropout/,0.0011617119663413426,0.0015430192852030065,8.94103890139912e-7,2.475045078743307e-6
7,dropout/,0.0011465874514260004,0.0012589735396137378,8.190025885318494e-7,1.0417938724364345e-6
8,dropout/,0.0011457578218998284,0.0012091530025290045,8.197006777608734e-7,9.55304706787895e-7
9,dropout/,0.0011456987003388315,0.0012106950009682861,8.195260115997141e-7,9.558320908551305e-7
10,dropout/,0.0011456327752031126,0.0012125943009110795,8.196871024717202e-7,9.619520931707735e-7
11,dropout/,0.0011455592590232516,0.0012160036899307512,8.202529544074894e-7,9.748338836658494e-7
12,dropout/,0.0011454798953184034,0.0012219733831730258,8.213036530247757e-7,9.95837040139115e-7
13,dropout/,0.0011454721165252695,0.0012228599136817518,8.215176097137232e-7,9.994983877952734e-7
14,dropout/,0.0011454514748789415,0.0012235022686894865,8.220328334562538e-7,1.0055630037797615e-6
15,dropout/,0.0011454493206837966,0.0012235770717816856,8.220879336733045e-7,1.006224243651396e-6
16,dropout/,0.0011454472207704412,0.0012236562736105765,8.221435242872338e-7,1.006893764911824e-6
17,dropout/,0.0011454468592621493,0.0012236704377746196,8.221531545071978e-7,1.0070102804572545e-6
18,dropout/,0.0011454465700596757,0.001223680832442367,8.221599680178405e-7,1.0070935390574642e-6
19,dropout/,0.0011454463794421791,0.0012236886830707533,8.221655452700625e-7,1.0071604281149372e-6
20,dropout/,0.0011454461305781026,0.001223696474932133,8.221711273767775e-7,1.0072273991120231e-6
21,dropout/,0.0011454459535036937,0.0012237043244444326,8.221767143362222e-7,1.0072944520449034e-6
22,dropout/,0.0011454428359968531,0.0012232208486407019,8.222038774674299e-7,1.0066583576577946e-6
23,dropout/,0.0011454425769049305,0.0012228646605934217,8.222266399248974e-7,1.0062132333211636e-6
24,dropout/,0.0011454420972911896,0.0012229895819650563,8.222190136586869e-7,1.0063733251903454e-6
25,dropout/,0.001145441979525361,0.0012230977154206834,8.22212716374776e-7,1.0065142709162808e-6
26,dropout/,0.0011454418200291926,0.0012230643707766995,8.222150751330733e-7,1.0064749378352444e-6
27,dropout/,0.0011454417667325616,0.0012230694648917573,8.222147837040473e-7,1.0064816658263176e-6
