epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_0
2,test_1/,0.003047198687253182,0.011513976031865825,3.522321720769507e-5,0.00046432066145120956,l2,g1_1__g2_0
3,test_1/,0.0024051416770796952,0.008891006422480774,2.6549578991833525e-5,0.00037318763031461986,l2,g1_1__g2_0
4,test_1/,0.002380106014457899,0.00882198676737072,2.1008026735914023e-5,0.0002953379790991141,l2,g1_1__g2_0
5,test_1/,0.0005792068165944166,0.0009373189874693398,8.490828379859395e-7,1.8201256838287265e-6,l2,g1_1__g2_0
6,test_1/,0.0005612554413817484,0.0006101048026383215,8.20788019090286e-7,9.361462803780613e-7,l2,g1_1__g2_0
7,test_1/,0.000560826049610494,0.0006038127496600997,8.213554542784875e-7,9.291423537193431e-7,l2,g1_1__g2_0
8,test_1/,0.0005605935614621656,0.0006043764499250684,8.227409727782108e-7,9.478854342367997e-7,l2,g1_1__g2_0
9,test_1/,0.0005605197360637098,0.0006061194641826113,8.244581594980717e-7,9.733040338093198e-7,l2,g1_1__g2_0
10,test_1/,0.0005604662669095142,0.0006058231101649202,8.237966182772503e-7,9.647761362889872e-7,l2,g1_1__g2_0
11,test_1/,0.0005604439475970599,0.0006069781283313481,8.239469174043949e-7,9.696361653663862e-7,l2,g1_1__g2_0
12,test_1/,0.0005604397891074207,0.0006071947794710415,8.239760304279897e-7,9.7055963028345e-7,l2,g1_1__g2_0
13,test_1/,0.0005604395906190301,0.0006072059647850635,8.239773714009969e-7,9.706053769060765e-7,l2,g1_1__g2_0
14,test_1/,0.0005604394970164304,0.0006072109921798936,8.239780207724887e-7,9.706265088840319e-7,l2,g1_1__g2_0
15,test_1/,0.0005604394970164304,0.0006072109921798936,8.239780207724887e-7,9.706265088840319e-7,l2,g1_1__g2_0
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l2,g1_1__g2_0.1
2,test_1/,0.0030440446443696528,0.011498813422656799,3.5132228375268534e-5,0.00046338399918100415,l2,g1_1__g2_0.1
3,test_1/,0.0023956442977487117,0.008850278403286577,2.6289773492884538e-5,0.000369986512763069,l2,g1_1__g2_0.1
4,test_1/,0.002371059292211401,0.008781356057020975,2.081429237998775e-5,0.0002928968281533807,l2,g1_1__g2_0.1
5,test_1/,0.0005806011973959799,0.0009323320817530697,8.475889663910881e-7,1.7913382168410777e-6,l2,g1_1__g2_0.1
6,test_1/,0.0005630606062234269,0.0006119735075901355,8.209482576445102e-7,9.380795928664884e-7,l2,g1_1__g2_0.1
7,test_1/,0.0005626190377748016,0.0006049386517890889,8.213354607848968e-7,9.27229745895166e-7,l2,g1_1__g2_0.1
8,test_1/,0.0005623823267980478,0.0006053876946977548,8.226935280234807e-7,9.452024156839374e-7,l2,g1_1__g2_0.1
9,test_1/,0.0005622939577933253,0.0006070880721244639,8.244597315777818e-7,9.711404816130554e-7,l2,g1_1__g2_0.1
10,test_1/,0.0005622481878697717,0.0006067984711372078,8.237933359447266e-7,9.62583964646783e-7,l2,g1_1__g2_0.1
11,test_1/,0.0005622256698582846,0.0006079599544492137,8.239397843647958e-7,9.674523122715614e-7,l2,g1_1__g2_0.1
12,test_1/,0.000562219223803261,0.0006082950712606037,8.239837406723933e-7,9.688735075444595e-7,l2,g1_1__g2_0.1
13,test_1/,0.0005622150402313368,0.0006085118771001667,8.240127593781026e-7,9.69802277490474e-7,l2,g1_1__g2_0.1
14,test_1/,0.0005622149409434702,0.0006085174033872814,8.240134247800571e-7,9.698250706897875e-7,l2,g1_1__g2_0.1
