epochs,test_name,train_losses,test_losses,train_metric,test_metric
1,architecture_lstm_1/,0.0010439135906169063,0.0009011032336546015,0.14330596980295454,0.13219633466521216
2,architecture_lstm_1/,0.00026474589582753665,0.00022743852984910713,0.14333168933438137,0.1326520302703387
3,architecture_lstm_1/,0.0001935385025635903,0.0001913362325949623,0.17859954092838945,0.17391762321830237
4,architecture_lstm_1/,0.00014850649776471588,0.00013744792834316077,0.18419133364302853,0.16651003116722018
5,architecture_lstm_1/,0.00017111450083269773,0.00017215225714866387,0.17071650753074677,0.1749683315362911
6,architecture_lstm_1/,0.00027984731815457463,0.00027748333916063195,0.1682649942985628,0.1916919025440148
7,architecture_lstm_1/,0.000462209400206486,0.0004080189647831813,0.18777850262023196,0.17273245502062795
8,architecture_lstm_1/,0.00041727946953337995,0.00037224423695630655,0.18041431914120876,0.1696983922100658
9,architecture_lstm_1/,0.00035516473839320996,0.0003192828090251036,0.17961100927165086,0.16989368021778675
10,architecture_lstm_1/,0.00021261357861226496,0.0002063878342309003,0.17264452075756495,0.17354058484229543
11,architecture_lstm_1/,0.0001652252172429659,0.00016457905190353094,0.17364959991312334,0.1727369566930057
12,architecture_lstm_1/,0.00014201898723635353,0.0001400623751620634,0.17851437160964706,0.17025046536359664
13,architecture_lstm_1/,0.0001423575796425858,0.0001403724978474044,0.17855359986697886,0.17023867441082133
14,architecture_lstm_1/,0.00014238529455294838,0.0001406954234146141,0.17834709753995773,0.1703032735972259
15,architecture_lstm_1/,0.00014182052418218173,0.00014027184754978402,0.1782157127789928,0.17034059854837336
16,architecture_lstm_1/,0.00013814029625733743,0.00013870412597268643,0.17657184516000865,0.17093445431635934
17,architecture_lstm_1/,0.0001386380043604205,0.00013849581891308487,0.17706641318287675,0.1707236537837027
18,architecture_lstm_1/,0.00013935668921808014,0.00013788915706319397,0.17800171259330885,0.17034828088403467
19,architecture_lstm_1/,0.0001398052464558029,0.00013824154418292552,0.17781485707926079,0.17038135783800384
20,architecture_lstm_1/,0.00014142997043637906,0.00013939824035038393,0.17779362106008362,0.1703428607790721
21,architecture_lstm_1/,0.00014323453651594127,0.0001406162174108588,0.17790993219646492,0.1702572317428763
22,architecture_lstm_1/,0.00014701311547490601,0.00014331927706517981,0.17814246364440398,0.17012800522337596
23,architecture_lstm_1/,0.0001505276388386553,0.00014567850389046985,0.17855113904581038,0.16995154558989634
24,architecture_lstm_1/,0.00015341066653063828,0.00014763779070871053,0.17870972586428055,0.16970092418387742
25,architecture_lstm_1/,0.00027461259990600094,0.00025043992435203744,0.1777195093792567,0.16883550307314857
26,architecture_lstm_1/,0.0002565303038630985,0.00023674913917282002,0.17556269694636645,0.16901732589297255
27,architecture_lstm_1/,0.0002192883712268,0.000216320558999814,0.16563069418012447,0.17775165929543504
28,architecture_lstm_1/,0.0001560765102539372,0.00016414395270757012,0.1683785883559444,0.18284813541003758
29,architecture_lstm_1/,0.00015923440028393007,0.00016100829265738677,0.18413405638506827,0.17885084226466216
30,architecture_lstm_1/,0.00014698603702954012,0.00014985832242509061,0.18726142207942,0.1839230941698196
31,architecture_lstm_1/,0.00014427731188436862,0.00014497523435046068,0.18476773934684076,0.17938267598643406
