epochs,test_name,train_losses,test_losses,train_metric,test_metric
1,prueba_tonta/,7.165851506780004e-5,0.00011906888741252938,0.1001647222156818,0.14274676337799483
2,prueba_tonta/,7.176122039941968e-5,0.0001192193501947037,0.10016454899715542,0.1427460712845682
3,prueba_tonta/,7.220795411508346e-5,0.00011937067361029559,0.1002590643559378,0.14239138129414833
4,prueba_tonta/,7.195655890965745e-5,0.00011905602308317997,0.10020775103170261,0.14215071515748592
5,prueba_tonta/,0.00013629998881804168,0.0002043169800308719,0.10060115395988012,0.1305490783914501
6,prueba_tonta/,0.0001401149757544168,0.00020276860368872242,0.10238395193230149,0.1259754951108225
7,prueba_tonta/,8.829234038442056e-5,0.0001353664734104607,0.10340126877617119,0.12486423546565133
8,prueba_tonta/,7.821280187901352e-5,0.00011625425835609283,0.1033553190784458,0.1245043573632812
9,prueba_tonta/,7.02360394511332e-5,0.0001054679245808507,0.1022891132135372,0.12649361666958966
10,prueba_tonta/,6.983242675201126e-5,0.00010347447439497866,0.10257641783496399,0.12592597147683762
11,prueba_tonta/,6.898639407417735e-5,0.0001014448395194547,0.10264757657921782,0.12573606921688726
12,prueba_tonta/,6.884996614361049e-5,0.00010112869514155231,0.1026476974785097,0.1257147732865365
13,prueba_tonta/,6.921561558452417e-5,0.00010164843777420991,0.10259570777169125,0.1257393014115787
14,prueba_tonta/,6.875064144907097e-5,0.00010120856686312717,0.10259059008087351,0.12578341086687517
15,prueba_tonta/,6.9244251061639e-5,0.00010231183334649111,0.10258164055826278,0.12579849959368325
16,prueba_tonta/,6.841407320035439e-5,0.000100959901430842,0.10249331237232163,0.1257498757083589
17,prueba_tonta/,6.869140501938124e-5,0.00010130458938566297,0.10245512657563577,0.12570891772156095
18,prueba_tonta/,6.813373722867948e-5,0.00010094522474598464,0.10240126462516734,0.12541494760967206
19,prueba_tonta/,6.844810548634368e-5,0.00010162478517432852,0.10239079851320497,0.12523116861167566
20,prueba_tonta/,6.826093325882998e-5,0.00010116030211251164,0.10239523779826704,0.1251209404995301
21,prueba_tonta/,6.811239780846901e-5,0.00010087781822495341,0.10238107714929626,0.12506002080982417
22,prueba_tonta/,6.831601236395972e-5,0.0001012484911125022,0.10232062029782592,0.12444466899286663
23,prueba_tonta/,6.771045575273763e-5,9.972754803747608e-5,0.10232398060545482,0.12446759614006694
24,prueba_tonta/,6.699280733812476e-5,0.0001004473447631887,0.10182066239628627,0.12501120928150208
25,prueba_tonta/,6.694138629438723e-5,0.00010028670052045753,0.10178042080563993,0.12475587663319099
26,prueba_tonta/,6.707405439811956e-5,9.876309309357806e-5,0.10165282109202424,0.12352141374419376
27,prueba_tonta/,6.905943869753773e-5,0.00010923479631553205,0.10064385772927925,0.12396210851208188
28,prueba_tonta/,6.631267310176127e-5,0.00010338212309598987,0.10041924378943777,0.12422123063158509
29,prueba_tonta/,6.547226350457271e-5,0.0001015605082092902,0.10027215952367835,0.12425501085228144
