time,χ,ϕ,p,e
2521.230584684456,3.1415927,0.0,9.848941,8.7e-5
2522.2274378869606,3.1738183,0.029727118,9.847489,8.6819535e-5
2523.224291089465,3.206051,0.059460834,9.846035,8.6644155e-5
2524.22114429197,3.238291,0.08920116,9.844579,8.647388e-5
2525.2179974944747,3.270538,0.11894812,9.843121,8.630873e-5
2526.2148506969793,3.3027923,0.14870173,9.84166,8.614872e-5
2527.211703899484,3.3350537,0.178462,9.840198,8.599386e-5
2528.208557101989,3.3673224,0.20822895,9.838733,8.584416e-5
2529.2054103044934,3.3995986,0.2380026,9.837266,8.569965e-5
2530.202263506998,3.431882,0.26778296,9.835796,8.5560336e-5
2531.1991167095025,3.4641724,0.29757005,9.834326,8.542623e-5
2532.195969912007,3.4964702,0.3273639,9.832852,8.529729e-5
2533.192823114512,3.5287755,0.3571645,9.831377,8.51734e-5
2534.1896763170166,3.561088,0.3869719,9.829899,8.5054526e-5
2535.186529519521,3.593408,0.4167861,9.828419,8.4940635e-5
2536.1833827220257,3.6257355,0.4466071,9.826937,8.4831685e-5
2537.1802359245303,3.65807,0.47643495,9.825453,8.472763e-5
2538.1770891270353,3.6904123,0.50626963,9.823967,8.462844e-5
2539.17394232954,3.7227619,0.5361112,9.822478,8.453408e-5
2540.1707955320444,3.755119,0.56595963,9.820987,8.4444495e-5
2541.167648734549,3.7874837,0.595815,9.819494,8.4359664e-5
2542.164501937054,3.8198557,0.6256772,9.817999,8.427954e-5
2543.1613551395585,3.8522353,0.6555464,9.816502,8.420409e-5
2544.158208342063,3.8846223,0.6854226,9.815002,8.413327e-5
2545.1550615445676,3.9170172,0.7153057,9.8135,8.406705e-5
2546.151914747072,3.9494193,0.7451958,9.811996,8.4005376e-5
2547.148767949577,3.9818292,0.7750929,9.810491,8.394822e-5
2548.1456211520817,4.0142465,0.804997,9.808982,8.3895546e-5
2549.1424743545863,4.046672,0.8349081,9.807471,8.384731e-5
2550.139327557091,4.0791044,0.8648263,9.805958,8.3803476e-5
2551.136180759596,4.1115446,0.8947516,9.804443,8.376401e-5
2552.1330339621004,4.143993,0.9246839,9.802925,8.372887e-5
2553.129887164605,4.1764483,0.95462334,9.801406,8.369801e-5
2554.1267403671095,4.208912,0.98456985,9.799884,8.36714e-5
2555.123593569614,4.241383,1.0145235,9.79836,8.364901e-5
2556.120446772119,4.273862,1.0444844,9.796833,8.363079e-5
