time,χ,ϕ,p,e
4613.735455290455,3.1415927,0.0,12.3472805,0.0001926
4618.636212708592,3.2545643,0.10983948,12.337145,0.00018575908
4623.536970126729,3.3676777,0.21981661,12.326978,0.00017902136
4628.437727544865,3.4809334,0.3299325,12.31678,0.00017238803
4633.338484963002,3.5943332,0.4401883,12.306551,0.00016586027
4638.239242381139,3.7078779,0.5505849,12.29629,0.00015943883
4643.139999799276,3.8215685,0.66112334,12.285998,0.00015312487
4648.040757217413,3.9354057,0.77180445,12.275675,0.00014691969
4652.941514635549,4.049391,0.8826291,12.26532,0.00014082434
4657.8422720536855,4.163524,0.99359804,12.254933,0.00013483985
4662.743029471822,4.2778063,1.104712,12.2445135,0.00012896738
4667.643786889959,4.3922386,1.2159715,12.234063,0.0001232087
4672.544544308096,4.506821,1.3273773,12.223579,0.00011756422
4677.445301726232,4.621555,1.4389299,12.213064,0.000112035385
4682.346059144369,4.7364397,1.55063,12.202517,0.000106623374
4687.246816562506,4.851477,1.6624779,12.1919365,0.00010132899
4692.147573980643,4.966667,1.774474,12.181323,9.6153984e-5
4697.04833139878,5.08201,1.886619,12.170677,9.10991e-5
4701.949088816916,5.1975064,1.9989133,12.159999,8.6165135e-5
4706.849846235053,5.3131566,2.1113572,12.149287,8.1353435e-5
4711.7506036531895,5.4289618,2.2239513,12.138543,7.666517e-5
4716.651361071326,5.5449214,2.3366961,12.127766,7.210153e-5
4721.552118489463,5.661037,2.449592,12.116955,6.7663976e-5
4726.452875907599,5.777308,2.5626397,12.106111,6.3353364e-5
4731.353633325736,5.893736,2.6758394,12.095232,5.9170776e-5
4736.254390743873,6.010321,2.7891922,12.084321,5.511709e-5
4741.15514816201,6.1270638,2.902698,12.073375,5.119404e-5
4746.055905580147,6.243965,3.0163581,12.062395,4.740267e-5
4750.956662998283,6.3610253,3.130173,12.051381,4.3743632e-5
4755.85742041642,6.4782457,3.2441432,12.040334,4.0218478e-5
4760.758177834557,6.595627,3.3582697,12.029251,3.682811e-5
4765.6589352526935,6.713169,3.4725533,12.018135,3.357391e-5
4770.55969267083,6.830874,3.5869946,12.006984,3.0457188e-5
4775.460450088966,6.9487424,3.7015948,11.995797,2.7478723e-5
4780.361207507103,7.0667744,3.8163548,11.984576,2.4639454e-5
4785.26196492524,7.184972,3.9312751,11.973321,2.1940838e-5
4790.162722343377,7.3033357,4.046357,11.962029,1.938422e-5
4795.063479761514,7.4218664,4.161602,11.950703,1.6970047e-5
4799.96423717965,7.5405655,4.27701,11.939341,1.4699603e-5
4804.864994597787,7.659434,4.392583,11.927943,1.2574302e-5
4809.765752015924,7.778473,4.5083213,11.916511,1.0595299e-5
4814.666509434061,7.897683,4.624226,11.905041,8.76352e-6
4819.5672668521975,8.017065,4.7402987,11.893536,7.0804344e-6
4824.468024270333,8.136621,4.8565397,11.881995,5.5469586e-6
4829.36878168847,8.256351,4.972951,11.870418,4.1639596e-6
4834.269539106607,8.376258,5.089533,11.858804,2.9326234e-6
4839.170296524744,8.496341,5.2062864,11.847154,1.853989e-6
4844.071053942881,8.616601,5.323212,11.835466,9.29608e-7
4848.971811361017,8.7370405,5.4403124,11.823742,1.607973e-7
4853.872568779154,8.857659,5.5575867,11.81198,-4.5214438e-7
4858.773326197291,8.978458,5.675037,11.800182,-9.090552e-7
4863.674083615428,9.09944,5.7926636,11.788347,-1.2088186e-6
4868.574841033565,9.220604,5.910468,11.776474,-1.3494658e-6
4873.4755984517005,9.341951,6.0284514,11.764564,-1.3300347e-6
4878.376355869837,9.463483,6.146614,11.752616,-1.1498062e-6
4883.277113287974,9.5852,6.264957,11.740629,-8.073321e-7
4888.177870706111,9.707106,6.3834815,11.728605,-3.0148027e-7
4893.078628124248,9.829198,6.5021887,11.716543,3.6870534e-7
4897.979385542384,9.951479,6.62108,11.704443,1.2039933e-6
4902.880142960521,10.07395,6.740155,11.692304,2.204978e-6
4907.780900378658,10.196611,6.8594165,11.680125,3.372051e-6
4912.681657796795,10.319466,6.9788647,11.667909,4.7068465e-6
4917.582415214932,10.442513,7.0985007,11.655653,6.210714e-6
4922.483172633068,10.565756,7.2183256,11.643358,7.884366e-6
4927.3839300512045,10.689193,7.338341,11.631024,9.728705e-6
4932.284687469341,10.812828,7.458548,11.61865,1.1744873e-5
4937.185444887478,10.936661,7.5789475,11.606237,1.3933637e-5
4942.086202305615,11.060693,7.699541,11.593784,1.629598e-5
4946.986959723751,11.184927,7.82033,11.581291,1.8832916e-5
4951.887717141888,11.309362,7.9413157,11.568758,2.1545156e-5
4956.788474560025,11.434001,8.062499,11.556185,2.4433868e-5
4961.689231978162,11.5588455,8.183882,11.5435705,2.750029e-5
