niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,mse/,2.2906869472070067e-5,1.9753644189441704e-5,0.1436257395196957,0.13306627536018253
2,mse/,2.175106644520392e-5,1.871768973728955e-5,0.14363299799236737,0.13308239973413302
3,mse/,2.090069548343391e-5,1.7653651355932863e-5,0.14456661937126958,0.1328630070301853
4,mse/,2.1085561950928935e-5,1.7617191528452035e-5,0.145206850553523,0.13272795965897713
5,mse/,2.1125531353678523e-5,1.747381455521299e-5,0.14534599629427958,0.13218828261153578
6,mse/,2.1251307576625455e-5,1.6961252125851225e-5,0.14577826897895904,0.13023533658218628
7,mse/,2.0657944598621926e-5,1.6171803624889207e-5,0.14372870965088438,0.1271683996489175
8,mse/,2.2082489803126914e-5,2.845098207308572e-5,0.1486017804845729,0.16867416910814223
9,mse/,1.2438964640080652e-5,1.9771526713700613e-5,0.1115300741195754,0.14061125694993626
10,mse/,1.3717100971706542e-5,2.1086220082548693e-5,0.11712002031479649,0.14521093442437308
11,mse/,1.3749536946837992e-5,2.11188109158545e-5,0.11725839553947899,0.14532312159435923
12,mse/,1.380857462061425e-5,2.1178528088225258e-5,0.11750986241203694,0.14552844322050137
13,mse/,1.3835517437322158e-5,2.120575777024373e-5,0.11762100504512481,0.14561946798084802
14,mse/,1.381716712569817e-5,2.1187929820353178e-5,0.11754283449742413,0.14555812600800508
15,mse/,1.2308708980560683e-5,1.9687637929782434e-5,0.11092265671351363,0.14029703086716722
16,mse/,1.1631578215155183e-5,1.897945386739004e-5,0.1078157526841237,0.13774200020651892
17,mse/,1.02822053816238e-5,1.7187129463310616e-5,0.10132473626242659,0.13104661373914583
18,mse/,1.0090872384309157e-5,1.517021212832381e-5,0.10030892352576906,0.12306181492460305
19,mse/,1.2421953902425043e-5,1.4549919857418365e-5,0.11129942791523725,0.12049478792644817
20,mse/,1.604094836424341e-5,1.5926402377835627e-5,0.12653371941754651,0.12619981792459944
21,mse/,1.728414456766008e-5,1.6926545683139032e-5,0.12922343833416758,0.12929083898500326
22,mse/,1.7270772714053495e-5,1.7787516506711757e-5,0.13141708486503506,0.13336603113847753
23,mse/,1.7047315525780546e-5,1.8324378695427812e-5,0.13056536312445163,0.13536755957281268
24,mse/,1.6809001271663487e-5,1.8530076640480858e-5,0.1296495067989936,0.13612522238196473
25,mse/,1.6682994139933874e-5,1.8521273013563824e-5,0.12916265911480052,0.1360928795419751
26,mse/,1.6659231072934215e-5,1.8505650816490245e-5,0.12907063670628582,0.1360354472435423
27,mse/,1.6659231072934215e-5,1.8505650816490245e-5,0.12907063670628582,0.1360354472435423
28,mse/,1.6659231072934215e-5,1.8505650816490245e-5,0.12907063670628582,0.1360354472435423
29,mse/,1.6672162409515807e-5,1.8510778578150645e-5,0.1290435010002013,0.13605429857136506
