time,χ,ϕ,p,e
2521.230584684456,3.1415927,0.0,9.848941,8.7e-5
2522.2274378869606,3.1738458,0.028322827,9.845985,8.6947504e-5
2523.224291089465,3.2061133,0.05665842,9.843029,8.6895e-5
2524.22114429197,3.2383955,0.08500679,9.840074,8.6842505e-5
2525.2179974944747,3.270692,0.11336796,9.837117,8.679001e-5
2526.2148506969793,3.3030033,0.14174193,9.834162,8.6737506e-5
2527.211703899484,3.3353293,0.17012873,9.831206,8.668501e-5
2528.208557101989,3.3676698,0.19852836,9.82825,8.663251e-5
2529.2054103044934,3.400025,0.22694086,9.8252945,8.658001e-5
2530.202263506998,3.4323947,0.2553662,9.822338,8.6527514e-5
2531.1991167095025,3.4647791,0.28380448,9.819383,8.647502e-5
2532.195969912007,3.4971783,0.3122556,9.816426,8.6422515e-5
2533.192823114512,3.5295923,0.34071964,9.813471,8.637002e-5
2534.1896763170166,3.5620208,0.36919662,9.810515,8.631752e-5
2535.186529519521,3.594464,0.39768654,9.807559,8.626502e-5
2536.1833827220257,3.6269221,0.42618942,9.804604,8.621252e-5
2537.1802359245303,3.659395,0.45470527,9.801647,8.616003e-5
2538.1770891270353,3.6918826,0.4832341,9.798692,8.6107524e-5
2539.17394232954,3.724385,0.5117759,9.795736,8.605503e-5
2540.1707955320444,3.7569022,0.54033077,9.79278,8.600253e-5
2541.167648734549,3.7894342,0.5688986,9.7898245,8.5950036e-5
2542.164501937054,3.8219812,0.5974795,9.786868,8.589753e-5
2543.1613551395585,3.854543,0.6260735,9.783913,8.584504e-5
2544.158208342063,3.8871195,0.6546805,9.780956,8.579254e-5
2545.1550615445676,3.919711,0.6833006,9.778001,8.574004e-5
2546.151914747072,3.9523177,0.7119338,9.775045,8.568754e-5
2547.148767949577,3.984939,0.74058014,9.772089,8.5635045e-5
2548.1456211520817,4.0175753,0.76923954,9.769134,8.558254e-5
2549.1424743545863,4.0502267,0.7979121,9.766177,8.5530046e-5
2550.139327557091,4.082893,0.82659787,9.763222,8.547755e-5
2551.136180759596,4.1155744,0.85529673,9.760266,8.542505e-5
2552.1330339621004,4.1482706,0.88400877,9.75731,8.537255e-5
2553.129887164605,4.1809816,0.91273403,9.7543545,8.5320054e-5
2554.1267403671095,4.213708,0.9414724,9.751398,8.526755e-5
2555.123593569614,4.2464495,0.9702241,9.748443,8.5215055e-5
2556.120446772119,4.279206,0.9989889,9.745486,8.516256e-5
2557.1172999746236,4.3119774,1.0277671,9.742531,8.5110056e-5
2558.114153177128,4.3447638,1.0565584,9.739575,8.505756e-5
2559.1110063796327,4.3775654,1.085363,9.736619,8.5005064e-5
2560.1078595821373,4.4103823,1.1141809,9.733664,8.495256e-5
2561.1047127846423,4.4432144,1.143012,9.730707,8.4900064e-5
2562.101565987147,4.4760613,1.1718565,9.727752,8.484757e-5
2563.0984191896514,4.5089235,1.2007143,9.724796,8.4795065e-5
2564.095272392156,4.541801,1.2295854,9.72184,8.474257e-5
2565.092125594661,4.574693,1.2584698,9.718884,8.469007e-5
2566.0889787971655,4.607601,1.2873676,9.715928,8.463757e-5
2567.08583199967,4.640524,1.3162787,9.712973,8.458507e-5
2568.0826852021746,4.6734624,1.3452032,9.710016,8.453258e-5
2569.079538404679,4.7064157,1.374141,9.707061,8.4480074e-5
2570.076391607184,4.739384,1.4030923,9.704105,8.442758e-5
2571.0732448096887,4.772368,1.4320569,9.701149,8.437508e-5
2572.0700980121933,4.805367,1.4610349,9.698194,8.4322586e-5
2573.066951214698,4.838382,1.4900264,9.695237,8.427008e-5
2574.063804417203,4.8714113,1.5190312,9.692282,8.421759e-5
2575.0606576197074,4.904456,1.5480494,9.689326,8.416509e-5
2576.057510822212,4.9375167,1.5770812,9.68637,8.411259e-5
2577.0543640247165,4.970592,1.6061264,9.683414,8.406009e-5
2578.051217227221,5.003683,1.635185,9.680458,8.4007595e-5
2579.048070429726,5.0367894,1.6642572,9.677503,8.395509e-5
2580.0449236322306,5.069911,1.6933427,9.674546,8.3902596e-5
2581.041776834735,5.103048,1.7224418,9.671591,8.38501e-5
2582.0386300372397,5.1362004,1.7515543,9.668635,8.37976e-5
2583.0354832397443,5.169368,1.7806803,9.665679,8.37451e-5
2584.0323364422493,5.202551,1.8098199,9.662724,8.3692605e-5
2585.029189644754,5.2357497,1.838973,9.659767,8.36401e-5
2586.0260428472584,5.2689633,1.8681396,9.656812,8.3587605e-5
2587.022896049763,5.3021927,1.8973198,9.653856,8.353511e-5
2588.019749252268,5.3354373,1.9265134,9.6509,8.3482606e-5
2589.0166024547725,5.3686976,1.9557207,9.647944,8.343011e-5
2590.013455657277,5.4019732,1.9849414,9.644988,8.3377614e-5
2591.0103088597816,5.435264,2.0141757,9.642033,8.332511e-5
2592.007162062286,5.4685707,2.0434237,9.639076,8.3272615e-5
2593.004015264791,5.5018926,2.072685,9.636121,8.322012e-5
2594.0008684672957,5.53523,2.1019602,9.633165,8.3167615e-5
2594.9977216698003,5.568583,2.1312487,9.630209,8.311512e-5
2595.994574872305,5.601951,2.1605508,9.627254,8.306262e-5
2596.99142807481,5.635335,2.1898668,9.624297,8.301012e-5
2597.9882812773144,5.668734,2.219196,9.621342,8.2957624e-5
2598.985134479819,5.702149,2.2485392,9.618386,8.290513e-5
2599.9819876823235,5.7355795,2.277896,9.61543,8.2852624e-5
2600.978840884828,5.7690253,2.307266,9.612474,8.280013e-5
2601.975694087333,5.8024864,2.33665,9.609518,8.274763e-5
2602.9725472898376,5.8359632,2.3660474,9.606563,8.269514e-5
2603.969400492342,5.869456,2.3954587,9.603606,8.264263e-5
2604.9662536948467,5.9029636,2.4248834,9.600651,8.259014e-5
2605.9631068973513,5.936487,2.4543219,9.597695,8.253764e-5
2606.9599600998563,5.970026,2.483774,9.594739,8.248514e-5
2607.956813302361,6.0035806,2.5132396,9.591784,8.243264e-5
2608.9536665048654,6.037151,2.5427191,9.588827,8.2380146e-5
2609.95051970737,6.0707364,2.5722122,9.585872,8.232764e-5
2610.947372909875,6.1043377,2.601719,9.582916,8.2275146e-5
2611.9442261123795,6.1379547,2.6312394,9.57996,8.222265e-5
2612.941079314884,6.171587,2.6607735,9.577004,8.217015e-5
2613.9379325173886,6.205235,2.6903214,9.574048,8.211765e-5
2614.934785719893,6.2388988,2.719883,9.571093,8.2065155e-5
2615.931638922398,6.272578,2.7494583,9.568136,8.201265e-5
2616.9284921249027,6.3062725,2.779047,9.565181,8.1960156e-5
2617.9253453274073,6.339983,2.8086498,9.562225,8.190766e-5
2618.922198529912,6.373709,2.8382661,9.559269,8.1855156e-5
2619.919051732417,6.4074507,2.8678963,9.5563135,8.180266e-5
2620.9159049349214,6.441208,2.89754,9.553357,8.1750164e-5
2621.912758137426,6.474981,2.9271977,9.550402,8.169766e-5
2622.9096113399305,6.5087695,2.956869,9.547446,8.1645165e-5
2623.906464542435,6.542574,2.986554,9.54449,8.159267e-5
2624.90331774494,6.5763936,3.0162528,9.541534,8.1540165e-5
2625.9001709474446,6.6102295,3.0459652,9.538578,8.148767e-5
2626.897024149949,6.6440806,3.0756915,9.535623,8.143517e-5
2627.8938773524537,6.6779475,3.1054316,9.532666,8.138267e-5
2628.8907305549583,6.71183,3.1351852,9.529711,8.1330174e-5
2629.8875837574633,6.7457285,3.164953,9.526755,8.127768e-5
2630.884436959968,6.7796426,3.1947343,9.523799,8.1225175e-5
2631.8812901624724,6.813572,3.2245295,9.5208435,8.117268e-5
2632.878143364977,6.8475175,3.2543385,9.517887,8.112018e-5
2633.874996567482,6.8814783,3.2841613,9.514932,8.106769e-5
2634.8718497699865,6.9154553,3.3139977,9.511976,8.101518e-5
2635.868702972491,6.949448,3.3438482,9.50902,8.096269e-5
2636.8655561749956,6.983456,3.3737123,9.506064,8.091019e-5
2637.8624093775,7.0174804,3.4035904,9.503108,8.085769e-5
2638.859262580005,7.05152,3.4334822,9.500153,8.080519e-5
2639.8561157825097,7.0855756,3.463388,9.497196,8.0752696e-5
2640.8529689850143,7.119647,3.4933076,9.494241,8.070019e-5
2641.849822187519,7.1537337,3.5232408,9.491285,8.06477e-5
2642.846675390024,7.1878366,3.553188,9.488329,8.05952e-5
2643.8435285925284,7.2219553,3.5831492,9.4853735,8.05427e-5
2644.840381795033,7.2560897,3.6131241,9.482417,8.04902e-5
2645.8372349975375,7.2902403,3.6431131,9.479462,8.0437705e-5
2646.834088200042,7.324406,3.673116,9.476506,8.03852e-5
2647.830941402547,7.358588,3.7031326,9.47355,8.0332706e-5
2648.8277946050516,7.392786,3.733163,9.470594,8.028021e-5
2649.824647807556,7.4269996,3.7632074,9.467638,8.0227706e-5
2650.8215010100607,7.461229,3.7932658,9.464683,8.017521e-5
2651.8183542125653,7.495474,3.8233383,9.461727,8.0122714e-5
2652.8152074150703,7.529735,3.8534245,9.458771,8.007021e-5
2653.812060617575,7.564012,3.8835247,9.455815,8.0017715e-5
2654.8089138200794,7.598305,3.9136388,9.452859,7.996522e-5
2655.805767022584,7.632614,3.943767,9.4499035,7.9912716e-5
2656.802620225089,7.666939,3.9739091,9.446947,7.986022e-5
2657.7994734275935,7.7012796,4.004065,9.443992,7.980772e-5
2658.796326630098,7.735636,4.0342355,9.441036,7.975522e-5
2659.7931798326026,7.7700086,4.0644193,9.43808,7.9702724e-5
2660.790033035107,7.804397,4.0946174,9.435124,7.965023e-5
2661.786886237612,7.838802,4.12483,9.432168,7.9597725e-5
2662.7837394401167,7.8732224,4.155056,9.429213,7.954523e-5
2663.7805926426213,7.9076586,4.185296,9.426257,7.949273e-5
2664.777445845126,7.9421115,4.2155504,9.423301,7.944023e-5
2665.7742990476304,7.9765797,4.2458186,9.420345,7.938773e-5
2666.7711522501354,8.011065,4.276101,9.417389,7.933524e-5
2667.76800545264,8.045565,4.3063974,9.4144335,7.9282734e-5
2668.7648586551445,8.080082,4.336708,9.411477,7.923024e-5
2669.761711857649,8.1146145,4.367033,9.408522,7.917774e-5
