niter,test_name,train_losses,test_losses,train_metrics,test_metrics
1,32neurons/,7.162744320882634e-5,0.00011902165280813203,0.1001640719419636,0.1427509193515795
2,32neurons/,7.168721506905857e-5,0.00011911090764892855,0.100166185635054,0.14274809578953085
3,32neurons/,7.213539423690931e-5,0.00011948750809377162,0.10023119527522956,0.14249949074248566
4,32neurons/,8.052035056768918e-5,0.00013022533532371336,0.10001008213647447,0.13973283373050743
5,32neurons/,0.00012401456867128677,0.00015439566032954613,0.10729886706286267,0.1217549187078278
6,32neurons/,8.029156397211606e-5,9.62527705402858e-5,0.10765626414694378,0.12133370173371028
7,32neurons/,8.082524957026795e-5,9.499303495433843e-5,0.10814729929550998,0.12096762793903795
8,32neurons/,8.180865447877856e-5,9.460191848455608e-5,0.10851351563967329,0.12075318935999178
9,32neurons/,8.205395267441322e-5,9.449586679431404e-5,0.10860775624974105,0.12069766483231967
10,32neurons/,8.206976682532003e-5,9.448407554194164e-5,0.1086156929212245,0.12069101194994068
11,32neurons/,8.207966539138416e-5,9.447863126674046e-5,0.10862018182419968,0.12068883578516468
12,32neurons/,8.218208518123993e-5,9.457677119690817e-5,0.10864106959762505,0.1206655516882247
13,32neurons/,8.21403288737773e-5,9.452414283628302e-5,0.1086383232733917,0.12067003592298375
14,32neurons/,8.21597412024312e-5,9.454300162872151e-5,0.1086410489843659,0.12066562996174163
15,32neurons/,8.220024576130213e-5,9.457950557694582e-5,0.10864887189522018,0.12065898891045836
16,32neurons/,8.222904636773782e-5,9.458998180084844e-5,0.10865904175525887,0.12065018036735763
17,32neurons/,8.25831440748914e-5,9.464286272399646e-5,0.10881124713506968,0.12049613811908737
18,32neurons/,8.31361371816452e-5,9.453657627582413e-5,0.10907445858112386,0.1201871359765335
19,32neurons/,8.433988033530972e-5,9.379880121881013e-5,0.10967486792529221,0.11924892189335046
20,32neurons/,8.54195530261654e-5,9.309488189524752e-5,0.1100204282285365,0.11883784304373884
21,32neurons/,8.808076511373147e-5,9.07651617823179e-5,0.11165794460811267,0.1176652639375461
22,32neurons/,9.103148101355957e-5,8.766587334970879e-5,0.1132852143367429,0.11577277105217817
23,32neurons/,9.354306832112184e-5,8.451526798973369e-5,0.11563103143383383,0.11412122616601092
24,32neurons/,9.69855808529223e-5,7.108103044828093e-5,0.1185199127675783,0.10400029182764747
25,32neurons/,9.491356422743899e-5,7.86906696171423e-5,0.11703482338987635,0.11064877438579336
26,32neurons/,9.50942826553092e-5,7.736118957431911e-5,0.1172785360575458,0.10981976355599928
27,32neurons/,9.506385928336901e-5,7.638925052325239e-5,0.11733848201001794,0.1091857113928931
28,32neurons/,9.430859187623348e-5,7.610700437101539e-5,0.11670796178383466,0.10884504659609753
29,32neurons/,9.46109634389389e-5,7.550766197976413e-5,0.11699808648512759,0.10844586784281635
30,32neurons/,9.494239946194785e-5,7.460951917791624e-5,0.11729599690958463,0.10775158167753594
31,32neurons/,9.480711455473546e-5,7.496879611323114e-5,0.11717409433463102,0.10803488392759142
32,32neurons/,9.48137594307955e-5,7.49537946137417e-5,0.117179975639923,0.10802337911884041
33,32neurons/,9.482571969891875e-5,7.491292690288542e-5,0.11719119627801877,0.10799015283965485
34,32neurons/,9.482560369962692e-5,7.491249548546862e-5,0.11719109111938976,0.1079899508919849
35,32neurons/,9.48254182917837e-5,7.491240103261146e-5,0.11719098899991195,0.10798986530267117
36,32neurons/,9.477283099535823e-5,7.501567275416211e-5,0.11714894080037233,0.10807669513943369
37,32neurons/,9.477282657215274e-5,7.501573535484971e-5,0.11714892116468358,0.1080767269424977
38,32neurons/,9.477287978825023e-5,7.501571087361049e-5,0.11714898926649135,0.10807675409223827
39,32neurons/,9.477287505949117e-5,7.501575264358404e-5,0.11714898986718153,0.10807675263007008
40,32neurons/,9.477287505949117e-5,7.501575264358404e-5,0.11714898986718153,0.10807675263007008
41,32neurons/,9.477287505949117e-5,7.501575264358404e-5,0.11714898986718153,0.10807675263007008
42,32neurons/,9.477287505949117e-5,7.501575264358404e-5,0.11714898986718153,0.10807675263007008
43,32neurons/,9.478825617354954e-5,7.502388715218276e-5,0.11713627368471362,0.10804698166464322
44,32neurons/,8.876266973652863e-5,6.264334492935009e-5,0.11118377985087165,0.09538417790866278
45,32neurons/,9.134020104378128e-5,6.599248612631246e-5,0.11379983886989191,0.09918862953266115
46,32neurons/,9.239536972542219e-5,6.815901984774942e-5,0.11489276873546231,0.10143306930739866
47,32neurons/,9.255430775894284e-5,6.859312294743062e-5,0.11506761338325962,0.10187643251287783
48,32neurons/,9.253522393039492e-5,6.863643615515111e-5,0.11505543941458746,0.10191562929920904
49,32neurons/,9.203561413869778e-5,7.191959727078368e-5,0.11474136030858224,0.10471623714537726
50,32neurons/,9.175347174631179e-5,7.201005448407701e-5,0.11466782182595416,0.10500641159907016
51,32neurons/,9.176240911626786e-5,7.183133903759125e-5,0.11466649118827595,0.10484522764904654
52,32neurons/,9.183135173222886e-5,7.111887176348804e-5,0.1146844907651643,0.10418611172477202
53,32neurons/,9.168704653835161e-5,7.160286518920417e-5,0.11459429821372186,0.10462036110625077
54,32neurons/,9.120953814303828e-5,7.272547796980176e-5,0.11425704665469805,0.10554642136690222
55,32neurons/,9.101922908848407e-5,7.30507480409407e-5,0.11411542460198534,0.10579541954317116
56,32neurons/,9.101921107416373e-5,7.305075170841244e-5,0.11411541447499376,0.10579542306790891
57,32neurons/,9.092941083364157e-5,7.320995902823226e-5,0.11405033950172402,0.10592091572711068
58,32neurons/,9.09197326838722e-5,7.317511524119745e-5,0.11404161138799597,0.10588701482383266
59,32neurons/,9.088894482991194e-5,7.307401108701073e-5,0.11401303812669888,0.10578973811995122
60,32neurons/,9.087810758691256e-5,7.311028150334345e-5,0.11400574846967775,0.10581880944658266
61,32neurons/,9.087811680656356e-5,7.31102388496048e-5,0.11400577154188153,0.10581883847117286
62,32neurons/,9.087811929766426e-5,7.311040708433453e-5,0.1140057716106435,0.1058189143783696
63,32neurons/,9.088514602231736e-5,7.308853037644212e-5,0.11401096471158684,0.10580131151415925
64,32neurons/,9.088626794744696e-5,7.308645017021732e-5,0.11401144047045061,0.105800050618689
65,32neurons/,9.088653008525509e-5,7.308649553170151e-5,0.11401152786549416,0.10580022447138036
66,32neurons/,9.08865403807646e-5,7.308656213595395e-5,0.11401166903035624,0.10580020343172714
67,32neurons/,9.088654162522881e-5,7.308655679489637e-5,0.11401167030679751,0.10580020321304187
68,32neurons/,9.088654162522881e-5,7.308655679489637e-5,0.11401167030679751,0.10580020321304187
69,32neurons/,9.088654162522881e-5,7.308655679489637e-5,0.11401167030679751,0.10580020321304187
70,32neurons/,9.088654162522881e-5,7.308655679489637e-5,0.11401167030679751,0.10580020321304187
71,32neurons/,9.097272598448558e-5,7.316113948097533e-5,0.113943974296035,0.10563010473197632
72,32neurons/,8.329631377666573e-5,6.578222198853317e-5,0.1066418786673258,0.09588319383625754
73,32neurons/,8.650946897487293e-5,6.710254563758859e-5,0.10974316412619915,0.09852197695446531
74,32neurons/,8.778307592296671e-5,6.826226630146947e-5,0.11101737072754254,0.10016236028774017
75,32neurons/,8.797002766124679e-5,6.844641712569765e-5,0.11119586080876542,0.10040112586895712
